Obec;Okres;Kraj
Svrcinovec;Okres Cadca;Zilinsky kraj
Tachty;Okres Rimavska Sobota;Banskobystricky kraj
Tajna;Okres Nitra;Nitriansky kraj
Tajov;Okres Banska Bystrica;Banskobystricky kraj
Tapesovo;Okres Namestovo;Zilinsky kraj
Tarnov;Okres Bardejov;Presovsky kraj
Tasula;Okres Sobrance;Kosicky kraj
Tatranska Javorina;Okres Poprad;Presovsky kraj
Tehla;Okres Levice;Nitriansky kraj
Tekoldany;Okres Hlohovec;Trnavsky kraj
Tekovska Breznica;Okres Zarnovica;Banskobystricky kraj
Tekovske Luzany;Okres Levice;Nitriansky kraj
Tekovske Nemce;Okres Zlate Moravce;Nitriansky kraj
Tekovsky Hradok;Okres Levice;Nitriansky kraj
Telgart;Okres Brezno;Banskobystricky kraj
Telince;Okres Nitra;Nitriansky kraj
Temes;Okres Prievidza;Trenciansky kraj
Teplicka;Okres Spisska Nova Ves;Kosicky kraj
Teplicka nad Vahom;Okres Zilina;Zilinsky kraj
Teplicky;Okres Hlohovec;Trnavsky kraj
Teply Vrch;Okres Rimavska Sobota;Banskobystricky kraj
Terany;Okres Krupina;Banskobystricky kraj
Terchova;Okres Zilina;Zilinsky kraj
Teriakovce;Okres Presov;Presovsky kraj
Terna;Okres Presov;Presovsky kraj
Tesare;Okres Topolcany;Nitriansky kraj
Tesarske Mlynany;Okres Zlate Moravce;Nitriansky kraj
Tesedikovo;Okres Sala;Nitriansky kraj
Tibava;Okres Sobrance;Kosicky kraj
Tichy Potok;Okres Sabinov;Presovsky kraj
Timoradza;Okres Banovce nad Bebravou;Trenciansky kraj
Tisinec;Okres Stropkov;Presovsky kraj
Tisovec;Okres Rimavska Sobota;Banskobystricky kraj
Tlmace;Okres Levice;Nitriansky kraj
Tocnica;Okres Lucenec;Banskobystricky kraj
Tokajik;Okres Stropkov;Presovsky kraj
Tomasikovo;Okres Galanta;Trnavsky kraj
Tomasov;Okres Senec;Bratislavsky kraj
Tomasovce, okres Lucenec;Okres Lucenec;Banskobystricky kraj
Tomasovce, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Ton;Okres Komarno;Nitriansky kraj
Topola;Okres Snina;Presovsky kraj
Topolcany;Okres Topolcany;Nitriansky kraj
Topolcianky;Okres Zlate Moravce;Nitriansky kraj
Topolnica;Okres Galanta;Trnavsky kraj
Topolniky;Okres Dunajska Streda;Trnavsky kraj
Topolovka;Okres Humenne;Presovsky kraj
Toporec;Okres Kezmarok;Presovsky kraj
Tornala;Okres Revuca;Banskobystricky kraj
Torysa;Okres Sabinov;Presovsky kraj
Torysky;Okres Levoca;Presovsky kraj
Tovarne;Okres Vranov nad Toplou;Presovsky kraj
Tovarnianska Polianka;Okres Vranov nad Toplou;Presovsky kraj
Tovarniky;Okres Topolcany;Nitriansky kraj
Trakovice;Okres Hlohovec;Trnavsky kraj
Travnica;Okres Nove Zamky;Nitriansky kraj
Travnik;Okres Komarno;Nitriansky kraj
Trebatice;Okres Piestany;Trnavsky kraj
Trebejov;Okres Kosice - okolie;Kosicky kraj
Trebelovce;Okres Lucenec;Banskobystricky kraj
Trebichava;Okres Banovce nad Bebravou;Trenciansky kraj
Trebisov;Okres Trebisov;Kosicky kraj
Trebostovo;Okres Martin;Zilinsky kraj
Trebusovce;Okres Velky Krtis;Banskobystricky kraj
Trenc;Okres Lucenec;Banskobystricky kraj
Trencianska Tepla;Okres Trencin;Trenciansky kraj
Trencianska Turna;Okres Trencin;Trenciansky kraj
Trencianske Bohuslavice;Okres Nove Mesto nad Vahom;Trenciansky kraj
Trencianske Jastrabie;Okres Trencin;Trenciansky kraj
Trencianske Mitice;Okres Trencin;Trenciansky kraj
Trencianske Stankovce;Okres Trencin;Trenciansky kraj
Trencianske Teplice;Okres Trencin;Trenciansky kraj
Trencin;Okres Trencin;Trenciansky kraj
Trhova Hradska;Okres Dunajska Streda;Trnavsky kraj
Trhoviste;Okres Michalovce;Kosicky kraj
Trnava;Okres Trnava;Trnavsky kraj
Trnava Hora;Okres Ziar nad Hronom;Banskobystricky kraj
Trnava pri Laborci;Okres Michalovce;Kosicky kraj
Trnavka, okres Dunajska Streda;Okres Dunajska Streda;Trnavsky kraj
Trnavka, okres Trebisov;Okres Trebisov;Kosicky kraj
Trnie;Okres Zvolen;Banskobystricky kraj
Trnkov;Okres Presov;Presovsky kraj
Trnovec;Okres Skalica;Trnavsky kraj
Trnovec nad Vahom;Okres Sala;Nitriansky kraj
Trnovo;Okres Martin;Zilinsky kraj
Trocany;Okres Bardejov;Presovsky kraj
Trpin;Okres Krupina;Banskobystricky kraj
Trstany;Okres Kosice - okolie;Kosicky kraj
Trstena;Okres Tvrdosin;Zilinsky kraj
Trstena na Ostrove;Okres Dunajska Streda;Trnavsky kraj
Trstene;Okres Liptovsky Mikulas;Zilinsky kraj
Trstene pri Hornade;Okres Kosice - okolie;Kosicky kraj
Trstice;Okres Galanta;Trnavsky kraj
Trstin;Okres Trnava;Trnavsky kraj
Tuhar;Okres Lucenec;Banskobystricky kraj
Tuhrina;Okres Presov;Presovsky kraj
Tuchyna;Okres Ilava;Trenciansky kraj
Tulcik;Okres Presov;Presovsky kraj
Tupa;Okres Levice;Nitriansky kraj
Tura;Okres Levice;Nitriansky kraj
Turany;Okres Martin;Zilinsky kraj
Turany nad Ondavou;Okres Stropkov;Presovsky kraj
Turcek;Okres Turcianske Teplice;Zilinsky kraj
Turcianky;Okres Partizanske;Trenciansky kraj
Turcianska Stiavnicka;Okres Martin;Zilinsky kraj
Turcianske Jaseno;Okres Martin;Zilinsky kraj
Turcianske Klacany;Okres Martin;Zilinsky kraj
Turcianske Teplice;Okres Turcianske Teplice;Zilinsky kraj
Turciansky Dur;Okres Martin;Zilinsky kraj
Turciansky Peter;Okres Martin;Zilinsky kraj
Turcok;Okres Revuca;Banskobystricky kraj
Turcovce;Okres Humenne;Presovsky kraj
Turecka;Okres Banska Bystrica;Banskobystricky kraj
Turen;Okres Senec;Bratislavsky kraj
Turie;Okres Zilina;Zilinsky kraj
Turik;Okres Ruzomberok;Zilinsky kraj
Turna nad Bodvou;Okres Kosice - okolie;Kosicky kraj
Turnianska Nova Ves;Okres Kosice - okolie;Kosicky kraj
Turova;Okres Zvolen;Banskobystricky kraj
Turzovka;Okres Cadca;Zilinsky kraj
Tusice;Okres Michalovce;Kosicky kraj
Tusicka Nova Ves;Okres Michalovce;Kosicky kraj
Tuzina;Okres Prievidza;Trenciansky kraj
Tvarozna;Okres Kezmarok;Presovsky kraj
Tvrdomestice;Okres Topolcany;Nitriansky kraj
Tvrdosin;Okres Tvrdosin;Zilinsky kraj
Tvrdosovce;Okres Nove Zamky;Nitriansky kraj
Ubla;Okres Snina;Presovsky kraj
Ubrez;Okres Sobrance;Kosicky kraj
Udavske;Okres Humenne;Presovsky kraj
Udica;Okres Povazska Bystrica;Trenciansky kraj
Udol;Okres Stara Lubovna;Presovsky kraj
Uhliska;Okres Levice;Nitriansky kraj
Uhorna;Okres Gelnica;Kosicky kraj
Uhorska Ves;Okres Liptovsky Mikulas;Zilinsky kraj
Uhorske;Okres Poltar;Banskobystricky kraj
Uhrovec;Okres Banovce nad Bebravou;Trenciansky kraj
Uhrovske Podhradie;Okres Banovce nad Bebravou;Trenciansky kraj
Ulany nad Zitavou;Okres Nove Zamky;Nitriansky kraj
Ulic;Okres Snina;Presovsky kraj
Ulicske Krive;Okres Snina;Presovsky kraj
Uloza;Okres Levoca;Presovsky kraj
Unatin;Okres Krupina;Banskobystricky kraj
Unin;Okres Skalica;Trnavsky kraj
Urmince;Okres Topolcany;Nitriansky kraj
Utekac;Okres Poltar;Banskobystricky kraj
Uzovce;Okres Sabinov;Presovsky kraj
Uzovska Panica;Okres Rimavska Sobota;Banskobystricky kraj
Uzovske Peklany;Okres Sabinov;Presovsky kraj
Uzovsky Salgov;Okres Sabinov;Presovsky kraj
Vadovce;Okres Nove Mesto nad Vahom;Trenciansky kraj
Vagrinec;Okres Svidnik;Presovsky kraj
Vahovce;Okres Galanta;Trnavsky kraj
Vajkovce;Okres Kosice - okolie;Kosicky kraj
Valaliky;Okres Kosice - okolie;Kosicky kraj
Valaska;Okres Brezno;Banskobystricky kraj
Valaska Bela;Okres Prievidza;Trenciansky kraj
Valaska Dubova;Okres Ruzomberok;Zilinsky kraj
Valaskovce, vojensky obvod;Okres Humenne;Presovsky kraj
Valca;Okres Martin;Zilinsky kraj
Valentovce;Okres Medzilaborce;Presovsky kraj
Valice;Okres Rimavska Sobota;Banskobystricky kraj
Valkovce;Okres Svidnik;Presovsky kraj
Valkovna;Okres Brezno;Banskobystricky kraj
Vaniskovce;Okres Bardejov;Presovsky kraj
Vapenik;Okres Svidnik;Presovsky kraj
Varadka;Okres Bardejov;Presovsky kraj
Varechovce;Okres Stropkov;Presovsky kraj
Varhanovce;Okres Presov;Presovsky kraj
Varin;Okres Zilina;Zilinsky kraj
Vasilov;Okres Namestovo;Zilinsky kraj
Vavrecka;Okres Namestovo;Zilinsky kraj
Vavrinec;Okres Vranov nad Toplou;Presovsky kraj
Vavrisovo;Okres Liptovsky Mikulas;Zilinsky kraj
Vazec;Okres Liptovsky Mikulas;Zilinsky kraj
Vcelince;Okres Rimavska Sobota;Banskobystricky kraj
Vecelkov;Okres Rimavska Sobota;Banskobystricky kraj
Vechec;Okres Vranov nad Toplou;Presovsky kraj
Velaty;Okres Trebisov;Kosicky kraj
Velcice;Okres Zlate Moravce;Nitriansky kraj
Velicna;Okres Dolny Kubin;Zilinsky kraj
Velka Calomija;Okres Velky Krtis;Banskobystricky kraj
Velka Causa;Okres Prievidza;Trenciansky kraj
Velka Cierna;Okres Zilina;Zilinsky kraj
Velka Dolina;Okres Nitra;Nitriansky kraj
Velka Frankova;Okres Kezmarok;Presovsky kraj
Velka Hradna;Okres Trencin;Trenciansky kraj
Velka Ida;Okres Kosice - okolie;Kosicky kraj
Velka Lehota;Okres Zarnovica;Banskobystricky kraj
Velka Lesna;Okres Stara Lubovna;Presovsky kraj
Velka Lodina;Okres Kosice - okolie;Kosicky kraj
Velka Lomnica;Okres Kezmarok;Presovsky kraj
Velka Luka;Okres Zvolen;Banskobystricky kraj
Velka Maca;Okres Galanta;Trnavsky kraj
Velka nad Iplom;Okres Lucenec;Banskobystricky kraj
Velka Paka;Okres Dunajska Streda;Trnavsky kraj
Velka Trna;Okres Trebisov;Kosicky kraj
Velka Ves;Okres Poltar;Banskobystricky kraj
Velka Ves nad Iplom;Okres Velky Krtis;Banskobystricky kraj
Velke Bierovce;Okres Trencin;Trenciansky kraj
Velke Blahovo;Okres Dunajska Streda;Trnavsky kraj
Velke Borove;Okres Liptovsky Mikulas;Zilinsky kraj
Velke Dravce;Okres Lucenec;Banskobystricky kraj
Velke Drzkovce;Okres Banovce nad Bebravou;Trenciansky kraj
Velke Dvorany;Okres Topolcany;Nitriansky kraj
Velke Dvorniky;Okres Dunajska Streda;Trnavsky kraj
Velke Hoste;Okres Banovce nad Bebravou;Trenciansky kraj
Velke Chlievany;Okres Banovce nad Bebravou;Trenciansky kraj
Velke Chyndice;Okres Nitra;Nitriansky kraj
Velke Kapusany;Okres Michalovce;Kosicky kraj
Velke Kosihy;Okres Komarno;Nitriansky kraj
Velke Kostolany;Okres Piestany;Trnavsky kraj
Velke Kozmalovce;Okres Levice;Nitriansky kraj
Velke Krstenany;Okres Partizanske;Trenciansky kraj
Velke Levare;Okres Malacky;Bratislavsky kraj
Velke Lovce;Okres Nove Zamky;Nitriansky kraj
Velke Ludince;Okres Levice;Nitriansky kraj
Velke Orviste;Okres Piestany;Trnavsky kraj
Velke Ozorovce;Okres Trebisov;Kosicky kraj
Velke Pole;Okres Zarnovica;Banskobystricky kraj
Velke Raskovce;Okres Michalovce;Kosicky kraj
Velke Revistia;Okres Sobrance;Kosicky kraj
Velke Ripnany;Okres Topolcany;Nitriansky kraj
Velke Rovne;Okres Bytca;Zilinsky kraj
Velke Slemence;Okres Michalovce;Kosicky kraj
Velke Straciny;Okres Velky Krtis;Banskobystricky kraj
Velke Teriakovce;Okres Rimavska Sobota;Banskobystricky kraj
Velke Trakany;Okres Trebisov;Kosicky kraj
Velke Turovce;Okres Levice;Nitriansky kraj
Velke Uherce;Okres Partizanske;Trenciansky kraj
Velke Ulany;Okres Galanta;Trnavsky kraj
Velke Vozokany;Okres Zlate Moravce;Nitriansky kraj
Velke Zaluzie;Okres Nitra;Nitriansky kraj
Velke Zlievce;Okres Velky Krtis;Banskobystricky kraj
Velkrop;Okres Stropkov;Presovsky kraj
Velky Biel;Okres Senec;Bratislavsky kraj
Velky Blh;Okres Rimavska Sobota;Banskobystricky kraj
Velky Cepcin;Okres Turcianske Teplice;Zilinsky kraj
Velky Cetin;Okres Nitra;Nitriansky kraj
Velky Dur;Okres Levice;Nitriansky kraj
Velky Folkmar;Okres Gelnica;Kosicky kraj
Velky Grob;Okres Galanta;Trnavsky kraj
Velky Hores;Okres Trebisov;Kosicky kraj
Velky Kamenec;Okres Trebisov;Kosicky kraj
Velky Kliz;Okres Partizanske;Trenciansky kraj
Velky Krtis;Okres Velky Krtis;Banskobystricky kraj
Velky Kyr;Okres Nove Zamky;Nitriansky kraj
Velky Lapas;Okres Nitra;Nitriansky kraj
Velky Lipnik;Okres Stara Lubovna;Presovsky kraj
Velky Lom;Okres Velky Krtis;Banskobystricky kraj
Velky Meder;Okres Dunajska Streda;Trnavsky kraj
Velky Saris;Okres Presov;Presovsky kraj
Velky Slavkov;Okres Poprad;Presovsky kraj
Velky Slivnik;Okres Presov;Presovsky kraj
Velopolie;Okres Humenne;Presovsky kraj
Velusovce;Okres Topolcany;Nitriansky kraj
Vernar;Okres Poprad;Presovsky kraj
Vesele;Okres Piestany;Trnavsky kraj
Veterna Poruba;Okres Liptovsky Mikulas;Zilinsky kraj
Vidina;Okres Lucenec;Banskobystricky kraj
Vieska nad Blhom;Okres Rimavska Sobota;Banskobystricky kraj
Vieska nad Zitavou;Okres Zlate Moravce;Nitriansky kraj
Vieska, okres Dunajska Streda;Okres Dunajska Streda;Trnavsky kraj
Vieska, okres Velky Krtis;Okres Velky Krtis;Banskobystricky kraj
Viglas;Okres Detva;Banskobystricky kraj
Viglasska Huta-Kalinka;Okres Detva;Banskobystricky kraj
Vikartovce;Okres Poprad;Presovsky kraj
Vinica;Okres Velky Krtis;Banskobystricky kraj
Vinicky;Okres Trebisov;Kosicky kraj
Vinicne;Okres Pezinok;Bratislavsky kraj
Vinne;Okres Michalovce;Kosicky kraj
Vinodol;Okres Nitra;Nitriansky kraj
Vinohrady nad Vahom;Okres Galanta;Trnavsky kraj
Vinosady;Okres Pezinok;Bratislavsky kraj
Virt;Okres Komarno;Nitriansky kraj
Vislanka;Okres Stara Lubovna;Presovsky kraj
Vislava;Okres Stropkov;Presovsky kraj
Visnov;Okres Trebisov;Kosicky kraj
Visnove, okres Nove Mesto nad Vahom;Okres Nove Mesto nad Vahom;Trenciansky kraj
Visnove, okres Revuca;Okres Revuca;Banskobystricky kraj
Visnove, okres Zilina;Okres Zilina;Zilinsky kraj
Visolaje;Okres Puchov;Trenciansky kraj
Vistuk;Okres Pezinok;Bratislavsky kraj
Vitanova;Okres Tvrdosin;Zilinsky kraj
Vitaz;Okres Presov;Presovsky kraj
Vitazovce;Okres Humenne;Presovsky kraj
Vitkovce;Okres Spisska Nova Ves;Kosicky kraj
Vlaca;Okres Vranov nad Toplou;Presovsky kraj
Vladica;Okres Stropkov;Presovsky kraj
Vlachovo;Okres Roznava;Kosicky kraj
Vlachy;Okres Liptovsky Mikulas;Zilinsky kraj
Vlcany;Okres Sala;Nitriansky kraj
Vlckovce;Okres Trnava;Trnavsky kraj
Vlkanova;Okres Banska Bystrica;Banskobystricky kraj
Vlkas;Okres Nove Zamky;Nitriansky kraj
Vlkova;Okres Kezmarok;Presovsky kraj
Vlkovce;Okres Kezmarok;Presovsky kraj
Vlky;Okres Senec;Bratislavsky kraj
Vlkyna;Okres Rimavska Sobota;Banskobystricky kraj
Voderady;Okres Trnava;Trnavsky kraj
Vojany;Okres Michalovce;Kosicky kraj
Vojcice;Okres Trebisov;Kosicky kraj
Vojka;Okres Trebisov;Kosicky kraj
Vojka nad Dunajom;Okres Dunajska Streda;Trnavsky kraj
Vojkovce;Okres Spisska Nova Ves;Kosicky kraj
Vojnany;Okres Kezmarok;Presovsky kraj
Vojnatina;Okres Sobrance;Kosicky kraj
Vojtovce;Okres Stropkov;Presovsky kraj
Vola;Okres Michalovce;Kosicky kraj
Volica;Okres Medzilaborce;Presovsky kraj
Volkovce;Okres Zlate Moravce;Nitriansky kraj
Voznica;Okres Zarnovica;Banskobystricky kraj
Vozokany, okres Galanta;Okres Galanta;Trnavsky kraj
Vozokany, okres Topolcany;Okres Topolcany;Nitriansky kraj
Vrable;Okres Nitra;Nitriansky kraj
Vradiste;Okres Skalica;Trnavsky kraj
Vrakun;Okres Dunajska Streda;Trnavsky kraj
Vranov nad Toplou;Okres Vranov nad Toplou;Presovsky kraj
Vrbnica;Okres Michalovce;Kosicky kraj
Vrbov;Okres Kezmarok;Presovsky kraj
Vrbova nad Vahom;Okres Komarno;Nitriansky kraj
Vrbovce;Okres Myjava;Trenciansky kraj
Vrbove;Okres Piestany;Trnavsky kraj
Vrbovka;Okres Velky Krtis;Banskobystricky kraj
Vrchtepla;Okres Povazska Bystrica;Trenciansky kraj
Vricko;Okres Martin;Zilinsky kraj
Vrsatske Podhradie;Okres Ilava;Trenciansky kraj
Vrutky;Okres Martin;Zilinsky kraj
Vtackovce;Okres Kosice - okolie;Kosicky kraj
Vyborna;Okres Kezmarok;Presovsky kraj
Vycapy-Opatovce;Okres Nitra;Nitriansky kraj
Vydrany;Okres Dunajska Streda;Trnavsky kraj
Vydrna;Okres Puchov;Trenciansky kraj
Vydrnik;Okres Poprad;Presovsky kraj
Vyhne;Okres Ziar nad Hronom;Banskobystricky kraj
Vychodna;Okres Liptovsky Mikulas;Zilinsky kraj
Vyrava;Okres Medzilaborce;Presovsky kraj
Vyskovce;Okres Stropkov;Presovsky kraj
Vyskovce nad Iplom;Okres Levice;Nitriansky kraj
Vysna Boca;Okres Liptovsky Mikulas;Zilinsky kraj
Vysna Hutka;Okres Kosice - okolie;Kosicky kraj
Vysna Jablonka;Okres Humenne;Presovsky kraj
Vysna Jedlova;Okres Svidnik;Presovsky kraj
Vysna Kamenica;Okres Kosice - okolie;Kosicky kraj
Vysna Mysla;Okres Kosice - okolie;Kosicky kraj
Vysna Olsava;Okres Stropkov;Presovsky kraj
Vysna Pisana;Okres Svidnik;Presovsky kraj
Vysna Polianka;Okres Bardejov;Presovsky kraj
Vysna Rybnica;Okres Sobrance;Kosicky kraj
Vysna Sebastova;Okres Presov;Presovsky kraj
Vysna Sitnica;Okres Humenne;Presovsky kraj
Vysna Slana;Okres Roznava;Kosicky kraj
Vysna Vola;Okres Bardejov;Presovsky kraj
Vysne Ladickovce;Okres Humenne;Presovsky kraj
Vysne nad Hronom;Okres Levice;Nitriansky kraj
Vysne Nemecke;Okres Sobrance;Kosicky kraj
Vysne Remety;Okres Sobrance;Kosicky kraj
Vysne Repase;Okres Levoca;Presovsky kraj
Vysne Ruzbachy;Okres Stara Lubovna;Presovsky kraj
Vysne Valice;Okres Rimavska Sobota;Banskobystricky kraj
Vysny Caj;Okres Kosice - okolie;Kosicky kraj
Vysny Hrabovec;Okres Stropkov;Presovsky kraj
Vysny Hrusov;Okres Humenne;Presovsky kraj
Vysny Kazimir;Okres Vranov nad Toplou;Presovsky kraj
Vysny Klatov;Okres Kosice - okolie;Kosicky kraj
Vysny Komarnik;Okres Svidnik;Presovsky kraj
Vysny Krucov;Okres Bardejov;Presovsky kraj
Vysny Kubin;Okres Dolny Kubin;Zilinsky kraj
Vysny Medzev;Okres Kosice - okolie;Kosicky kraj
Vysny Mirosov;Okres Svidnik;Presovsky kraj
Vysny Orlik;Okres Svidnik;Presovsky kraj
Vysny Skalnik;Okres Rimavska Sobota;Banskobystricky kraj
Vysny Slavkov;Okres Levoca;Presovsky kraj
Vysny Tvarozec;Okres Bardejov;Presovsky kraj
Vysny Zipov;Okres Vranov nad Toplou;Presovsky kraj
Vysocany;Okres Banovce nad Bebravou;Trenciansky kraj
Vysoka nad Kysucou;Okres Cadca;Zilinsky kraj
Vysoka nad Uhom;Okres Michalovce;Kosicky kraj
Vysoka pri Morave;Okres Malacky;Bratislavsky kraj
Vysoka, okres Banska Stiavnica;Okres Banska Stiavnica;Banskobystricky kraj
Vysoka, okres Sabinov;Okres Sabinov;Presovsky kraj
Vysoke Tatry;Okres Poprad;Presovsky kraj
Zabiedovo;Okres Tvrdosin;Zilinsky kraj
Zabokreky;Okres Martin;Zilinsky kraj
Zabokreky nad Nitrou;Okres Partizanske;Trenciansky kraj
Zaborie;Okres Martin;Zilinsky kraj
Zaborske;Okres Presov;Presovsky kraj
Zadiel;Okres Kosice - okolie;Kosicky kraj
Zador;Okres Rimavska Sobota;Banskobystricky kraj
Zahor;Okres Sobrance;Kosicky kraj
Zahorce;Okres Velky Krtis;Banskobystricky kraj
Zahorie, vojensky obvod;Okres Malacky;Bratislavsky kraj
Zahorska Ves;Okres Malacky;Bratislavsky kraj
Zahradne;Okres Presov;Presovsky kraj
Zacharovce;Okres Rimavska Sobota;Banskobystricky kraj
Zakamenne;Okres Namestovo;Zilinsky kraj
Zakarovce;Okres Gelnica;Kosicky kraj
Zakopcie;Okres Cadca;Zilinsky kraj
Zakovce;Okres Kezmarok;Presovsky kraj
Zalaba;Okres Levice;Nitriansky kraj
Zalesie, okres Kezmarok;Okres Kezmarok;Presovsky kraj
Zalesie, okres Senec;Okres Senec;Bratislavsky kraj
Zalobin;Okres Vranov nad Toplou;Presovsky kraj
Zaluzice;Okres Michalovce;Kosicky kraj
Zamarovce;Okres Trencin;Trenciansky kraj
Zamutov;Okres Vranov nad Toplou;Presovsky kraj
Zariecie;Okres Puchov;Trenciansky kraj
Zarnov;Okres Kosice - okolie;Kosicky kraj
Zarnovica;Okres Zarnovica;Banskobystricky kraj
Zaskalie;Okres Povazska Bystrica;Trenciansky kraj
Zaskov;Okres Dolny Kubin;Zilinsky kraj
Zatin;Okres Trebisov;Kosicky kraj
Zavada, okres Humenne;Okres Humenne;Presovsky kraj
Zavada, okres Topolcany;Okres Topolcany;Nitriansky kraj
Zavada, okres Velky Krtis;Okres Velky Krtis;Banskobystricky kraj
Zavadka nad Hronom;Okres Brezno;Banskobystricky kraj
Zavadka, okres Gelnica;Okres Gelnica;Kosicky kraj
Zavadka, okres Humenne;Okres Humenne;Presovsky kraj
Zavadka, okres Michalovce;Okres Michalovce;Kosicky kraj
Zavar;Okres Trnava;Trnavsky kraj
Zavazna Poruba;Okres Liptovsky Mikulas;Zilinsky kraj
Zavod;Okres Malacky;Bratislavsky kraj
Zazriva;Okres Dolny Kubin;Zilinsky kraj
Zbehnov;Okres Trebisov;Kosicky kraj
Zbehy;Okres Nitra;Nitriansky kraj
Zbince;Okres Michalovce;Kosicky kraj
Zboj;Okres Snina;Presovsky kraj
Zbojne;Okres Medzilaborce;Presovsky kraj
Zborov;Okres Bardejov;Presovsky kraj
Zborov nad Bystricou;Okres Cadca;Zilinsky kraj
Zbrojniky;Okres Levice;Nitriansky kraj
Zbudska Bela;Okres Medzilaborce;Presovsky kraj
Zbudske Dlhe;Okres Humenne;Presovsky kraj
Zbudza;Okres Michalovce;Kosicky kraj
Zbynov;Okres Zilina;Zilinsky kraj
Zdana;Okres Kosice - okolie;Kosicky kraj
Zdiar;Okres Poprad;Presovsky kraj
Zehna;Okres Presov;Presovsky kraj
Zehra;Okres Spisska Nova Ves;Kosicky kraj
Zelenec;Okres Trnava;Trnavsky kraj
Zelezna Breznica;Okres Zvolen;Banskobystricky kraj
Zeleznik;Okres Svidnik;Presovsky kraj
Zeliezovce;Okres Levice;Nitriansky kraj
Zelmanovce;Okres Svidnik;Presovsky kraj
Zelovce;Okres Velky Krtis;Banskobystricky kraj
Zemberovce;Okres Levice;Nitriansky kraj
Zemianska Olca;Okres Komarno;Nitriansky kraj
Zemianske Kostolany;Okres Prievidza;Trenciansky kraj
Zemianske Podhradie;Okres Nove Mesto nad Vahom;Trenciansky kraj
Zemianske Sady;Okres Galanta;Trnavsky kraj
Zemiansky Vrbovok;Okres Krupina;Banskobystricky kraj
Zemliare;Okres Levice;Nitriansky kraj
Zemne;Okres Nove Zamky;Nitriansky kraj
Zemplin;Okres Trebisov;Kosicky kraj
Zemplinska Nova Ves;Okres Trebisov;Kosicky kraj
Zemplinska Siroka;Okres Michalovce;Kosicky kraj
Zemplinska Teplica;Okres Trebisov;Kosicky kraj
Zemplinske Hamre;Okres Snina;Presovsky kraj
Zemplinske Hradiste;Okres Trebisov;Kosicky kraj
Zemplinske Jastrabie;Okres Trebisov;Kosicky kraj
Zemplinske Kopcany;Okres Michalovce;Kosicky kraj
Zemplinsky Branc;Okres Trebisov;Kosicky kraj
Ziar nad Hronom;Okres Ziar nad Hronom;Banskobystricky kraj
Ziar, okres Liptovsky Mikulas;Okres Liptovsky Mikulas;Zilinsky kraj
Ziar, okres Revuca;Okres Revuca;Banskobystricky kraj
Zibritov;Okres Krupina;Banskobystricky kraj
Ziharec;Okres Sala;Nitriansky kraj
Zikava;Okres Zlate Moravce;Nitriansky kraj
Zilina;Okres Zilina;Zilinsky kraj
Zip;Okres Rimavska Sobota;Banskobystricky kraj
Zipov;Okres Presov;Presovsky kraj
Zirany;Okres Nitra;Nitriansky kraj
Zitavany;Okres Zlate Moravce;Nitriansky kraj
Zitavce;Okres Nitra;Nitriansky kraj
Zitna-Radisa;Okres Banovce nad Bebravou;Trenciansky kraj
Zlata Bana;Okres Presov;Presovsky kraj
Zlata Idka;Okres Kosice - okolie;Kosicky kraj
Zlate;Okres Bardejov;Presovsky kraj
Zlate Klasy;Okres Dunajska Streda;Trnavsky kraj
Zlate Moravce;Okres Zlate Moravce;Nitriansky kraj
Zlatna na Ostrove;Okres Komarno;Nitriansky kraj
Zlatnik;Okres Vranov nad Toplou;Presovsky kraj
Zlatniky;Okres Banovce nad Bebravou;Trenciansky kraj
Zlatno, okres Poltar;Okres Poltar;Banskobystricky kraj
Zlatno, okres Zlate Moravce;Okres Zlate Moravce;Nitriansky kraj
Zliechov;Okres Ilava;Trenciansky kraj
Zlkovce;Okres Hlohovec;Trnavsky kraj
Zohor;Okres Malacky;Bratislavsky kraj
Zombor;Okres Velky Krtis;Banskobystricky kraj
Zubak;Okres Puchov;Trenciansky kraj
Zuberec;Okres Tvrdosin;Zilinsky kraj
Zubne;Okres Humenne;Presovsky kraj
Zubrohlava;Okres Namestovo;Zilinsky kraj
Zupcany;Okres Presov;Presovsky kraj
Zupkov;Okres Zarnovica;Banskobystricky kraj
Zvolen;Okres Zvolen;Banskobystricky kraj
Zvolenska Slatina;Okres Zvolen;Banskobystricky kraj
Zvoncin;Okres Trnava;Trnavsky kraj
