Obec;Okres;Kraj
Ratkovska Sucha;Okres Rimavska Sobota;Banskobystricky kraj
Ratkovske Bystre;Okres Revuca;Banskobystricky kraj
Ratnovce;Okres Piestany;Trnavsky kraj
Ratvaj;Okres Sabinov;Presovsky kraj
Raznany;Okres Sabinov;Presovsky kraj
Raztocno;Okres Prievidza;Trenciansky kraj
Raztoka;Okres Brezno;Banskobystricky kraj
Reca;Okres Senec;Bratislavsky kraj
Regetovka;Okres Bardejov;Presovsky kraj
Rejdova;Okres Roznava;Kosicky kraj
Relov;Okres Kezmarok;Presovsky kraj
Remeniny;Okres Vranov nad Toplou;Presovsky kraj
Remetske Hamre;Okres Sobrance;Kosicky kraj
Rencisov;Okres Sabinov;Presovsky kraj
Repejov;Okres Medzilaborce;Presovsky kraj
Repiste;Okres Ziar nad Hronom;Banskobystricky kraj
Resica;Okres Kosice - okolie;Kosicky kraj
Resov;Okres Bardejov;Presovsky kraj
Revuca;Okres Revuca;Banskobystricky kraj
Revucka Lehota;Okres Revuca;Banskobystricky kraj
Riecka, okres Banska Bystrica;Okres Banska Bystrica;Banskobystricky kraj
Riecka, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Richnava;Okres Gelnica;Kosicky kraj
Richvald;Okres Bardejov;Presovsky kraj
Rimavska Bana;Okres Rimavska Sobota;Banskobystricky kraj
Rimavska Sec;Okres Rimavska Sobota;Banskobystricky kraj
Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Rimavske Brezovo;Okres Rimavska Sobota;Banskobystricky kraj
Rimavske Janovce;Okres Rimavska Sobota;Banskobystricky kraj
Rimavske Zaluzany;Okres Rimavska Sobota;Banskobystricky kraj
Risnovce;Okres Nitra;Nitriansky kraj
Rohov;Okres Senica;Trnavsky kraj
Rohovce;Okres Dunajska Streda;Trnavsky kraj
Rohoznik, okres Humenne;Okres Humenne;Presovsky kraj
Rohoznik, okres Malacky;Okres Malacky;Bratislavsky kraj
Rochovce;Okres Roznava;Kosicky kraj
Rokycany;Okres Presov;Presovsky kraj
Rokytov;Okres Bardejov;Presovsky kraj
Rokytov pri Humennom;Okres Humenne;Presovsky kraj
Rokytovce;Okres Medzilaborce;Presovsky kraj
Rosina;Okres Zilina;Zilinsky kraj
Roskovce;Okres Medzilaborce;Presovsky kraj
Rostar;Okres Roznava;Kosicky kraj
Rovensko;Okres Senica;Trnavsky kraj
Rovinka;Okres Senec;Bratislavsky kraj
Rovnany;Okres Poltar;Banskobystricky kraj
Rovne, okres Humenne;Okres Humenne;Presovsky kraj
Rovne, okres Rimavska Sobota;Okres Rimavska Sobota;Banskobystricky kraj
Rovne, okres Svidnik;Okres Svidnik;Presovsky kraj
Rozhanovce;Okres Kosice - okolie;Kosicky kraj
Rozkovany;Okres Sabinov;Presovsky kraj
Rozlozna;Okres Roznava;Kosicky kraj
Roznava;Okres Roznava;Kosicky kraj
